L'Opponent défie le<br/> Reporter sur un problème; 1; 1
Le Reporter accepte ou<br/> rejette le défi; 1; 1
Préparation<br/> du Reporter; 3; 1
Présentation<br/> du Reporter; 12; 0
Questions de<br/> l’Opponent et <br/>réponse du Reporter; 2; 0
Préparation<br/> de l’Opponent; 3; 1
Présentation<br/> de l’Opponent; 5; 0
Discussion entre<br/> Reporter et l’Opponent; 5; 0
Discussion générale<br/> (avec l’ensemble des participants); 5; 0
Conclusion<br/> du Reporter; 1; 0
Questions<br/> du Jury; 6; 0
Délibération<br/> du Jury; 1; 1
Remarques<br/> du Jury; 5; 0
